location,start_date,end_date,description,USA for sure,timestamp
Miami,3/9/2011,3/14/2011,Winter Party Miami,1,20110221072625
Fort Lauderdale,3/12/2011,3/13/2011,Pridefest South Florida,1,20110221072625
Mammoth Lakes,3/16/2011,3/20/2011,Elevation Mammoth gay ski week,1,20110221072625
Washington D.C,3/31/2011,4/3/2011,Cherry,1,20110221072625
Palm Springs,4/8/2011,4/11/2011,White Party Palm Springs,1,20110221072625
Miami,4/16/2011,4/16/2011,Miami Beach gay pride,1,20110221072625
Cleveland,4/28/2011,5/1/2011,Claw Leather Awareness,1,20110423050351
Dallas,4/29/2011,5/2/2011,Purple Party,1,20110423050351
Honolulu,5/9/2011,5/15/2011,Paradise Circuit Festival,1,20110423050351
New York,5/15/2011,5/15/2011,NY AIDS Walk,1,20110423050351
Los Angeles,5/21/2011,5/22/2011,Long Beach Pride,1,20110520094401
Miami,5/26/2011,5/31/2011,Sizzle,1,20110520094401
Washington D.C,5/26/2011,5/29/2011,DC Black Pride,1,20110520094401
Chicago,5/27/2011,5/30/2011,International Mr Leather,1,20110520094401
Orlando,5/31/2011,6/6/2011,Disney Gay Days,1,20110520094401
Orlando,6/2/2011,6/6/2011,Wonder World,1,20110520094401
Washington D.C,6/2/2011,6/12/2011,Capital pride,1,20110520094401
Boston,6/3/2011,6/12/2011,Boston Pride,1,20110520094401
Key West,6/8/2011,6/12/2011,Key West PrideFest ,1,20110520094401
Los Angeles,6/10/2011,6/12/2011,Los Angeles Pride,1,20110520094401
Portland,6/17/2011,6/19/2011,Portland Pride,1,20110520094401
New York,6/18/2011,6/26/2011,NYC Gay Pride,1,20110622195934
New York,6/19/2011,6/19/2011,Folsom Street East,1,20110520094401
New Orleans,6/24/2011,6/27/2011,Gay Pride New Orleans,1,20110622195934
New York,6/24/2011,6/24/2011,Harlem Pride 2011,1,20110622195934
Cleveland,6/25/2011,6/25/2011,Cleveland Pride,1,20110622195934
Houston,6/25/2011,6/25/2011,Gay Pride Houston,1,20110622195934
San Francisco,6/25/2011,6/26/2011,San Francisco Pride,1,20110622195934
Seattle,6/25/2011,6/26/2011,Seattle Pride,1,20110622195934
Chicago,6/26/2011,6/26/2011,Chicago Pride,1,20110622195934
New York,6/26/2011,6/26/2011,Dance at the Pier,1,20110622195934
Los Angeles,6/30/2011,7/4/2011,Black Pride at the Beach,1,20110622195934
Las Vegas,7/1/2011,7/4/2011,Ripped,1,20110622195934
Provincetown,7/1/2011,7/7/2011,Independence Weekend,1,20110622195934
Provincetown,7/3/2011,7/6/2011,Summer Camp,1,20110622195934
Provincetown,7/9/2011,7/17/2011,Bear Week,1,20110622195934
San Diego,7/15/2011,7/17/2011,San Diego Pride,1,20110622195934
San Francisco,7/31/2011,7/31/2011,Up Your Alley,1,20110622195934
New York,8/10/2011,8/14/2011,NYC Black Pride: Explosion,1,20110810142048
Chicago,8/13/2011,8/14/2011,Northalsted Market Days,1,20110810142048
Provincetown,8/14/2011,8/19/2011,Carnival,1,20110810142048
New Orleans,8/31/2011,9/5/2011,Southern Decadence,1,20110822223024
Austin,9/2/2011,9/5/2011,Splash Days ,1,20110822223024
Black Rock Desert,9/2/2011,9/2/2011,Gay Pride at Burning man ,1,20110822223024
San Francisco,9/4/2011,9/4/2011,Oakland Gay Pride,1,20110822223024
Honolulu,9/15/2011,9/17/2011,Honolulu gay pride,1,20110822223024
Las Vegas,9/16/2011,9/17/2011,Las Vegas Pride,1,20110822223024
San Francisco,9/25/2011,9/25/2011,Folsom Street Fair,1,20110822223024
Los Angeles,9/30/2011,10/2/2011,Gay Days Anaheim,1,20110822223024
Atlanta,10/8/2011,10/9/2011,Atlanta Pride,1,20110822223024
Los Angeles,10/15/2011,10/22/2011,Atlantis LA Mexico gay cruise,1,20101222151431
San Diego,10/15/2011,10/22/2011,Atlantis Mexican Riveira Cruise ,1,20110822223024
Los Angeles,10/31/2011,10/31/2011,Gay Halloween Streetparty,1,20111016162129
Palm Springs,11/5/2011,11/6/2011,Greater Palm Springs Pride,1,20110822223024
Miami,11/23/2011,11/28/2011,White Party Week,1,20110822223024
Washington D.C,1/13/2012,1/16/2012,Mid Atlantic Leather Weekend,1,20110822223024
Aspen,1/15/2012,1/22/2012,Gay and Lesbian Ski Week,1,20110822223024
Fort Lauderdale,1/29/2012,2/5/2012,Atlantis Caribbean Cruise,1,20110822223024
Miami,2/12/2012,2/19/2012,RSVP Caribbean Cruise,1,20120214203114
Fort Lauderdale,2/16/2012,2/20/2012,Winter Heat,1,20120214203114
New Orleans,2/17/2012,2/21/2012,Gay Mardi Gras,1,20110822223024
Miami,2/29/2012,3/5/2012,Winter Party Miami,1,20110822223024
Fort Lauderdale,3/10/2012,3/11/2012,Pridefest South Florida,1,20120228150415
Mammoth Lakes,3/14/2012,3/18/2012,Elevation Mammoth gay ski week,1,20110822223024
Los Angeles,3/16/2012,3/25/2012,LA Fetish Pride,1,20120314160457
New York,3/23/2012,3/24/2012,The Black Party,1,20120314160457
Washington D.C,3/29/2012,4/1/2012,Cherry,1,20120314160457
Palm Springs,4/6/2012,4/9/2012,White Party Palm Springs,1,20110822223024
New Orleans,4/8/2012,4/8/2012,Gay Easter Parade,1,20120405022352
Miami,4/14/2012,4/14/2012,Miami Beach gay pride,1,20110822223024
Cleveland,4/26/2012,4/29/2012,Claw Leather Awareness,1,20110822223024
Dallas,5/4/2012,5/7/2012,Purple Party,1,20120502004836
Honolulu,5/10/2012,5/13/2012,Paradise Circuit Festival,1,20110822223024
Los Angeles,5/19/2012,5/20/2012,Long Beach Pride,1,20120514081857
New York,5/20/2012,5/20/2012,NY AIDS Walk,1,20120514081857
Miami,5/24/2012,5/29/2012,Sizzle,1,20120514081857
Washington D.C,5/24/2012,5/28/2012,DC Black Pride,1,20120514081857
Pensacola,5/25/2012,5/28/2012,Memorial Weekend,1,20120514081857
Orlando,5/29/2012,6/4/2012,Disney Gay Days,1,20110822223024
Washington D.C,5/30/2012,6/10/2012,Capital pride,1,20120514081857
Orlando,5/31/2012,6/4/2012,Wonder World,1,20120514081857
Honolulu,6/2/2012,6/2/2012,Honolulu gay pride,1,20120514081857
Los Angeles,6/8/2012,6/10/2012,Los Angeles Pride,1,20110822223024
Boston,6/9/2012,6/9/2012,Boston Pride,1,20120514081857
Portland,6/15/2012,6/17/2012,Portland Pride,1,20120616003919
New York,6/16/2012,6/24/2012,NYC Gay Pride,1,20120616003919
New York,6/17/2012,6/17/2012,Folsom Street East,1,20120616003919
New York,6/22/2012,6/24/2012,Harlem Pride,1,20120616003919
Houston,6/23/2012,6/23/2012,Gay Pride Houston,1,20120616003919
San Francisco,6/23/2012,6/24/2012,San Francisco Pride,1,20120616003919
Seattle,6/24/2012,6/24/2012,Seattle Pride,1,20120616003919
Los Angeles,6/28/2012,7/2/2012,Black Pride at the Beach,1,20110822223024
Provincetown,7/3/2012,7/6/2012,Summer Camp,1,20120625184950
Provincetown,7/7/2012,7/15/2012,Bear Week,1,20120625184950
New York,7/18/2012,7/22/2012,Sand Blast Weekend,1,20120625184950
San Diego,7/21/2012,7/22/2012,San Diego Pride,1,20120625184950
San Francisco,7/29/2012,7/29/2012,Up Your Alley,1,20120625184950
Provincetown,7/3/2012,7/5/2012,Independence Weekend,1,20120625184950
Chicago,8/11/2012,8/12/2012,Northalsted Market Days,1,20120804155106
Provincetown,8/12/2012,8/18/2012,Carnival,1,20120804155106
Key West,8/16/2012,8/19/2012,Tropical Heat,1,20120819214633
New Orleans,8/30/2012,9/3/2012,Southern Decadence,1,20120825082342
Austin,8/31/2012,9/3/2012,Splash Days ,1,20120825082342
Oakland,9/2/2012,9/2/2012,Oakland Gay Pride,1,20120825082342
Las Vegas,9/4/2012,9/10/2012,Gay Days Las Vegas,1,20110822223024
Key West,9/6/2012,9/10/2012,Key West PrideFest ,1,20110822223024
Las Vegas,9/7/2012,9/8/2012,Las Vegas Pride,1,20120825082342
Orlando,9/13/2012,9/16/2012,Bear Bash,1,20120915052450
Austin,9/22/2012,9/22/2012,Austin Gay Pride,1,20120915052450
San Francisco,9/23/2012,9/23/2012,Folsom Street Fair,1,20120915052450
Orlando,10/1/2012,10/7/2012,Orlando Pride,1,20120915052450
Anaheim,10/5/2012,10/7/2012,Gay Days Anaheim,1,20120915052450
Orlando,10/6/2012,10/6/2012,Orlando Pride,1,20120825082342
New York,10/11/2012,10/11/2012,Barbra Back To Brooklyn,1,20120915052450
Atlanta,10/13/2012,10/14/2012,Atlanta Pride,1,20120915052450
